Country,Year,ElementName,MDS1,MDS2
Chad,1980,Calories,0.705346027,-0.300474871
Chile,1980,Calories,-0.318444312,-0.113435821
China,1980,Calories,0.029925783,-0.164592558
Colombia,1980,Calories,-0.007678422,0.036149468
Comoros,1980,Calories,0.412706326,0.542439516
Congo,1980,Calories,0.306513204,0.154722634
Costa Rica,1980,Calories,-0.03668165,0.126752698
Cuba,1980,Calories,-0.187803808,0.171123108
Cyprus,1980,Calories,-0.233785849,-0.09649796
Czechoslovakia,1980,Calories,-0.364712852,-0.064043247
Democratic People's Republic of Korea,1980,Calories,-0.244709581,-0.46232129
Denmark,1980,Calories,-0.328229259,-0.024879822
Djibouti,1980,Calories,-0.126822981,0.146706799
Dominica,1980,Calories,-0.180099647,0.322184059
Dominican Republic,1980,Calories,-0.004903952,0.089780476
Ecuador,1980,Calories,-0.078651714,0.101929764
Egypt,1980,Calories,-0.072054955,-0.290498433
El Salvador,1980,Calories,0.041297975,-0.004679229
Ethiopia PDR,1980,Calories,0.325734815,-0.505082472
Fiji,1980,Calories,-0.136025034,0.22917401
Finland,1980,Calories,-0.401423093,0.004128329
France,1980,Calories,-0.216836005,-0.053610137
French Polynesia,1980,Calories,-0.206569678,0.095123436
Gabon,1980,Calories,0.029273796,0.27049168
Gambia,1980,Calories,0.54227043,-0.257841598
Germany,1980,Calories,-0.31826308,-0.018469704
Ghana,1980,Calories,0.624258117,0.106699707
Greece,1980,Calories,-0.310143689,-0.149923035
Grenada,1980,Calories,-0.147194453,0.246482687
Guatemala,1980,Calories,-0.018627792,-0.118515211
Guinea,1980,Calories,0.605681045,0.237325958
Guinea-Bissau,1980,Calories,0.526422641,0.115467765
Guyana,1980,Calories,-0.157884135,0.475928073
Haiti,1980,Calories,0.244974279,0.12513603
Honduras,1980,Calories,0.108366358,0.063702157
Hungary,1980,Calories,-0.370096793,-0.071134475
Iceland,1980,Calories,-0.417712197,0.05891536
India,1980,Calories,0.119030038,-0.093957441
Indonesia,1980,Calories,0.255644781,0.27320246
Iran (Islamic Republic of),1980,Calories,-0.291682952,-0.262619213
Ireland,1980,Calories,-0.318411405,-0.034198082
Israel,1980,Calories,-0.172017409,-0.098621691
Italy,1980,Calories,-0.261632294,-0.105305208
Jamaica,1980,Calories,-0.072755504,0.184388004
Japan,1980,Calories,-0.13214187,-0.020475435
Jordan,1980,Calories,-0.146932114,-0.129229469
Kenya,1980,Calories,0.230375984,-0.057903336
Kiribati,1980,Calories,-0.181231786,0.654449794
Kuwait,1980,Calories,-0.224244708,0.031560219
Lao People's Democratic Republic,1980,Calories,0.303754078,0.443295784
Lebanon,1980,Calories,-0.19181973,-0.113407549
Lesotho,1980,Calories,-0.149347479,-0.469442927
Liberia,1980,Calories,0.280776652,0.337620442
Libya,1980,Calories,-0.272131484,-0.190089565
Madagascar,1980,Calories,0.185230162,0.185094858
Malawi,1980,Calories,0.423572793,-0.23229689
Malaysia,1980,Calories,0.049423063,0.083878123
Maldives,1980,Calories,-0.064844075,0.485573541
Mali,1980,Calories,0.476618179,-0.277668757
Malta,1980,Calories,-0.243397377,-0.02232305
Mauritania,1980,Calories,0.163571086,-0.450483405
Mauritius,1980,Calories,-0.143612149,0.137294984
Mexico,1980,Calories,-0.071588311,-0.060451351
Mongolia,1980,Calories,-0.888633723,0.109135832
Morocco,1980,Calories,-0.256996688,-0.225860148
Mozambique,1980,Calories,0.384601362,-0.030550807
Myanmar,1980,Calories,0.398888812,-0.19202743
Namibia,1980,Calories,0.489565628,-0.874618258
Nepal,1980,Calories,0.318257284,0.421374883
Netherlands,1980,Calories,-0.27798777,-0.053921765
New Caledonia,1980,Calories,-0.239742448,0.17838353
New Zealand,1980,Calories,-0.303935037,-0.022384901
Nicaragua,1980,Calories,0.13559162,-0.03322187
Niger,1980,Calories,0.50315181,-0.434985304
Nigeria,1980,Calories,0.489672523,-0.088832591
Norway,1980,Calories,-0.358117912,0.013465311
Pakistan,1980,Calories,0.015808404,-0.226841507
Panama,1980,Calories,-0.110570843,0.09268228
Paraguay,1980,Calories,0.061644787,-0.036806829
Peru,1980,Calories,-0.074903245,0.017492288
Philippines,1980,Calories,0.058765581,0.253780146
Poland,1980,Calories,-0.475939897,-0.10783814
Portugal,1980,Calories,-0.278816783,-0.090837843
Republic of Korea,1980,Calories,-0.055742457,-0.187074737
Romania,1980,Calories,-0.384018683,-0.164479043
Rwanda,1980,Calories,0.919166221,0.089594666
Saint Kitts and Nevis,1980,Calories,-0.112040883,0.15252775
Saint Lucia,1980,Calories,-0.164463582,0.245358136
Saint Vincent and the Grenadines,1980,Calories,-0.106991921,0.274332046
Samoa,1980,Calories,-0.103715486,0.706748444
Sao Tome and Principe,1980,Calories,0.210638821,0.575914525
Saudi Arabia,1980,Calories,-0.081883767,-0.197643835
Senegal,1980,Calories,0.195698775,-0.197629196
Seychelles,1980,Calories,-0.146396764,0.114296181
Sierra Leone,1980,Calories,0.443036198,0.002645632
Solomon Islands,1980,Calories,0.140086415,0.640515895
South Africa,1980,Calories,-0.132901206,-0.092161066
Spain,1980,Calories,-0.27538264,-0.122298153
Sri Lanka,1980,Calories,0.076750183,0.305235966
Sudan (former),1980,Calories,0.300483091,-0.353219032
Suriname,1980,Calories,-0.167943836,0.206798522
Swaziland,1980,Calories,0.011743789,0.310984364
Sweden,1980,Calories,-0.295819758,-0.031258723
Switzerland,1980,Calories,-0.270152951,-0.041144323
Syrian Arab Republic,1980,Calories,-0.205692784,-0.221770487
Thailand,1980,Calories,0.06293992,0.264024356
Timor-Leste,1980,Calories,0.27089397,0.463206375
Togo,1980,Calories,0.430629722,-0.051586621
Trinidad and Tobago,1980,Calories,-0.11918702,0.107096879
Tunisia,1980,Calories,-0.297856574,-0.251655704
Turkey,1980,Calories,-0.237219244,-0.265976306
Uganda,1980,Calories,0.753269133,-0.128349513
United Arab Emirates,1980,Calories,-0.170683668,-0.127638266
United Kingdom,1980,Calories,-0.250268121,-0.057972943
United Republic of Tanzania,1980,Calories,0.463148202,-0.11385132
United States of America,1980,Calories,-0.227717448,-0.050855482
Uruguay,1980,Calories,-0.33063456,-0.089569852
USSR,1980,Calories,-0.41921716,-0.193850096
Vanuatu,1980,Calories,-0.083223789,0.565479471
Venezuela (Bolivarian Republic of),1980,Calories,-0.051796949,-0.021631442
Viet Nam,1980,Calories,0.202688946,0.35499
Yemen,1980,Calories,-0.000763085,-0.213933416
Yugoslav SFR,1980,Calories,-0.329590424,-0.128357905
