Year,GlobalMean,Measurement,FoodGroup,Unit
1966,0.011842105,Fat,Sweeteners,g/capita/day
1966,0.267105263,Fat,Vegetables,g/capita/day
1966,111.3842826,Food Weight,Alcoholic beverages,g/capita/day
1966,366.0147801,Food Weight,Animal products,g/capita/day
1966,171.1229272,Food Weight,Fruits,g/capita/day
1966,334.6719539,Food Weight,Grains,g/capita/day
1966,0,Food Weight,Miscellaneous,g/capita/day
1966,48.79596251,Food Weight,Oils,g/capita/day
1966,19.07894737,Food Weight,Pulses,g/capita/day
1966,7.966834895,Food Weight,Spices & stimulants,g/capita/day
1966,233.1272531,Food Weight,Starchy roots,g/capita/day
1966,72.37923576,Food Weight,Sweeteners,g/capita/day
1966,137.3792358,Food Weight,Vegetables,g/capita/day
1966,0.836842105,Protein,Alcoholic beverages,g/capita/day
1966,24.3,Protein,Animal products,g/capita/day
1966,1.032894737,Protein,Fruits,g/capita/day
1966,26.10855263,Protein,Grains,g/capita/day
1966,0.049342105,Protein,Miscellaneous,g/capita/day
1966,1.721052632,Protein,Oils,g/capita/day
1966,4.157236842,Protein,Pulses,g/capita/day
1966,0.599342105,Protein,Spices & stimulants,g/capita/day
1966,2.907236842,Protein,Starchy roots,g/capita/day
1966,0.026973684,Protein,Sweeteners,g/capita/day
1966,1.700657895,Protein,Vegetables,g/capita/day
1967,85.31578947,Calories,Alcoholic beverages,kcal/capita/day
1967,405.4210526,Calories,Animal products,kcal/capita/day
1967,92.36842105,Calories,Fruits,kcal/capita/day
1967,998.4802632,Calories,Grains,kcal/capita/day
1967,1.440789474,Calories,Miscellaneous,kcal/capita/day
1967,212.2039474,Calories,Oils,kcal/capita/day
1967,65.38157895,Calories,Pulses,kcal/capita/day
1967,9.657894737,Calories,Spices & stimulants,kcal/capita/day
1967,205.0328947,Calories,Starchy roots,kcal/capita/day
1967,245.2368421,Calories,Sweeteners,kcal/capita/day
1967,34.28289474,Calories,Vegetables,kcal/capita/day
1967,0.092105263,Fat,Alcoholic beverages,g/capita/day
1967,29.44934211,Fat,Animal products,g/capita/day
1967,0.530263158,Fat,Fruits,g/capita/day
1967,5.432236842,Fat,Grains,g/capita/day
1967,0.011184211,Fat,Miscellaneous,g/capita/day
1967,22.11447368,Fat,Oils,g/capita/day
1967,0.351973684,Fat,Pulses,g/capita/day
1967,0.421052632,Fat,Spices & stimulants,g/capita/day
1967,0.350657895,Fat,Starchy roots,g/capita/day
1967,0.009868421,Fat,Sweeteners,g/capita/day
1967,0.271710526,Fat,Vegetables,g/capita/day
1967,112.8172314,Food Weight,Alcoholic beverages,g/capita/day
1967,370.46323,Food Weight,Animal products,g/capita/day
1967,176.5987743,Food Weight,Fruits,g/capita/day
1967,334.0428983,Food Weight,Grains,g/capita/day
1967,0,Food Weight,Miscellaneous,g/capita/day
1967,48.82480173,Food Weight,Oils,g/capita/day
1967,19.3258832,Food Weight,Pulses,g/capita/day
1967,8.024513338,Food Weight,Spices & stimulants,g/capita/day
1967,232.2170151,Food Weight,Starchy roots,g/capita/day
1967,73.20115357,Food Weight,Sweeteners,g/capita/day
1967,139.3781543,Food Weight,Vegetables,g/capita/day
1967,0.827631579,Protein,Alcoholic beverages,g/capita/day
1967,24.51842105,Protein,Animal products,g/capita/day
1967,1.038815789,Protein,Fruits,g/capita/day
1967,26.05855263,Protein,Grains,g/capita/day
1967,0.05,Protein,Miscellaneous,g/capita/day
1967,1.744078947,Protein,Oils,g/capita/day
1967,4.196710526,Protein,Pulses,g/capita/day
1967,0.598684211,Protein,Spices & stimulants,g/capita/day
1967,2.899342105,Protein,Starchy roots,g/capita/day
1967,0.024342105,Protein,Sweeteners,g/capita/day
1967,1.706578947,Protein,Vegetables,g/capita/day
1968,86.00657895,Calories,Alcoholic beverages,kcal/capita/day
1968,414.875,Calories,Animal products,kcal/capita/day
1968,92.42763158,Calories,Fruits,kcal/capita/day
1968,1001.059211,Calories,Grains,kcal/capita/day
1968,1.532894737,Calories,Miscellaneous,kcal/capita/day
1968,216.1052632,Calories,Oils,kcal/capita/day
1968,63.43421053,Calories,Pulses,kcal/capita/day
1968,9.677631579,Calories,Spices & stimulants,kcal/capita/day
1968,205.4539474,Calories,Starchy roots,kcal/capita/day
1968,249.7828947,Calories,Sweeteners,kcal/capita/day
1968,34.20394737,Calories,Vegetables,kcal/capita/day
1968,0.094078947,Fat,Alcoholic beverages,g/capita/day
1968,30.19013158,Fat,Animal products,g/capita/day
1968,0.534210526,Fat,Fruits,g/capita/day
1968,5.457894737,Fat,Grains,g/capita/day
1968,0.011842105,Fat,Miscellaneous,g/capita/day
1968,22.51776316,Fat,Oils,g/capita/day
1968,0.344078947,Fat,Pulses,g/capita/day
1968,0.426973684,Fat,Spices & stimulants,g/capita/day
1968,0.352631579,Fat,Starchy roots,g/capita/day
1968,0.010526316,Fat,Sweeteners,g/capita/day
1968,0.275,Fat,Vegetables,g/capita/day
1968,114.4989185,Food Weight,Alcoholic beverages,g/capita/day
1968,377.3233598,Food Weight,Animal products,g/capita/day
1968,176.4275415,Food Weight,Fruits,g/capita/day
1968,334.81615,Food Weight,Grains,g/capita/day
1968,0,Food Weight,Miscellaneous,g/capita/day
1968,49.47188176,Food Weight,Oils,g/capita/day
1968,18.70043259,Food Weight,Pulses,g/capita/day
1968,8.139870224,Food Weight,Spices & stimulants,g/capita/day
1968,232.8803172,Food Weight,Starchy roots,g/capita/day
1968,74.49170872,Food Weight,Sweeteners,g/capita/day
1968,139.5223504,Food Weight,Vegetables,g/capita/day
1968,0.803289474,Protein,Alcoholic beverages,g/capita/day
1968,25.00460526,Protein,Animal products,g/capita/day
1968,1.046052632,Protein,Fruits,g/capita/day
1968,26.12763158,Protein,Grains,g/capita/day
1968,0.058552632,Protein,Miscellaneous,g/capita/day
1968,1.782894737,Protein,Oils,g/capita/day
1968,4.080263158,Protein,Pulses,g/capita/day
1968,0.6125,Protein,Spices & stimulants,g/capita/day
1968,2.913815789,Protein,Starchy roots,g/capita/day
1968,0.022368421,Protein,Sweeteners,g/capita/day
1968,1.717105263,Protein,Vegetables,g/capita/day
1969,88.56578947,Calories,Alcoholic beverages,kcal/capita/day
1969,419.0986842,Calories,Animal products,kcal/capita/day
1969,92.21052632,Calories,Fruits,kcal/capita/day
1969,1007,Calories,Grains,kcal/capita/day
1969,1.671052632,Calories,Miscellaneous,kcal/capita/day
1969,218.3157895,Calories,Oils,kcal/capita/day
1969,62.84868421,Calories,Pulses,kcal/capita/day
1969,9.888157895,Calories,Spices & stimulants,kcal/capita/day
1969,203.8552632,Calories,Starchy roots,kcal/capita/day
1969,253.1118421,Calories,Sweeteners,kcal/capita/day
1969,34.5,Calories,Vegetables,kcal/capita/day
1969,0.094736842,Fat,Alcoholic beverages,g/capita/day
1969,30.46052632,Fat,Animal products,g/capita/day
1969,0.531578947,Fat,Fruits,g/capita/day
1969,5.480263158,Fat,Grains,g/capita/day
1969,0.011842105,Fat,Miscellaneous,g/capita/day
1969,22.73289474,Fat,Oils,g/capita/day
1969,0.336184211,Fat,Pulses,g/capita/day
1969,0.451315789,Fat,Spices & stimulants,g/capita/day
1969,0.35,Fat,Starchy roots,g/capita/day
1969,0.009868421,Fat,Sweeteners,g/capita/day
1969,0.280921053,Fat,Vegetables,g/capita/day
1969,117.9470079,Food Weight,Alcoholic beverages,g/capita/day
1969,381.6222062,Food Weight,Animal products,g/capita/day
1969,176.3680606,Food Weight,Fruits,g/capita/day
1969,336.2004326,Food Weight,Grains,g/capita/day
1969,0,Food Weight,Miscellaneous,g/capita/day
1969,50.29379957,Food Weight,Oils,g/capita/day
1969,18.54361932,Food Weight,Pulses,g/capita/day
1969,8.228190339,Food Weight,Spices & stimulants,g/capita/day
1969,231.9124009,Food Weight,Starchy roots,g/capita/day
1969,75.6146359,Food Weight,Sweeteners,g/capita/day
1969,140.4596251,Food Weight,Vegetables,g/capita/day
1969,0.830921053,Protein,Alcoholic beverages,g/capita/day
1969,25.31776316,Protein,Animal products,g/capita/day
1969,1.045394737,Protein,Fruits,g/capita/day
1969,26.24934211,Protein,Grains,g/capita/day
1969,0.059210526,Protein,Miscellaneous,g/capita/day
1969,1.777631579,Protein,Oils,g/capita/day
1969,4.036842105,Protein,Pulses,g/capita/day
1969,0.611842105,Protein,Spices & stimulants,g/capita/day
1969,2.909868421,Protein,Starchy roots,g/capita/day
1969,0.025,Protein,Sweeteners,g/capita/day
1969,1.726973684,Protein,Vegetables,g/capita/day
1970,90.71710526,Calories,Alcoholic beverages,kcal/capita/day
1970,427.5855263,Calories,Animal products,kcal/capita/day
1970,92.93421053,Calories,Fruits,kcal/capita/day
1970,1006.717105,Calories,Grains,kcal/capita/day
1970,1.710526316,Calories,Miscellaneous,kcal/capita/day
1970,222.1447368,Calories,Oils,kcal/capita/day
1970,62.52631579,Calories,Pulses,kcal/capita/day
1970,10.57236842,Calories,Spices & stimulants,kcal/capita/day
1970,202.9407895,Calories,Starchy roots,kcal/capita/day
1970,257.3947368,Calories,Sweeteners,kcal/capita/day
1970,35.29605263,Calories,Vegetables,kcal/capita/day
1970,0.094078947,Fat,Alcoholic beverages,g/capita/day
1970,31.02368421,Fat,Animal products,g/capita/day
1970,0.530921053,Fat,Fruits,g/capita/day
1970,5.477631579,Fat,Grains,g/capita/day
1970,0.011842105,Fat,Miscellaneous,g/capita/day
1970,23.15460526,Fat,Oils,g/capita/day
1970,0.333552632,Fat,Pulses,g/capita/day
1970,0.511184211,Fat,Spices & stimulants,g/capita/day
1970,0.348684211,Fat,Starchy roots,g/capita/day
1970,0.009868421,Fat,Sweeteners,g/capita/day
1970,0.284210526,Fat,Vegetables,g/capita/day
1970,122.1989906,Food Weight,Alcoholic beverages,g/capita/day
1970,389.1618601,Food Weight,Animal products,g/capita/day
1970,178.4390771,Food Weight,Fruits,g/capita/day
1970,335.4524153,Food Weight,Grains,g/capita/day
1970,0,Food Weight,Miscellaneous,g/capita/day
1970,50.85616438,Food Weight,Oils,g/capita/day
1970,18.46070656,Food Weight,Pulses,g/capita/day
1970,8.193943764,Food Weight,Spices & stimulants,g/capita/day
1970,230.6939438,Food Weight,Starchy roots,g/capita/day
1970,76.99351117,Food Weight,Sweeteners,g/capita/day
1970,142.2422495,Food Weight,Vegetables,g/capita/day
1970,0.845394737,Protein,Alcoholic beverages,g/capita/day
1970,25.96513158,Protein,Animal products,g/capita/day
