CountryName,Measurement,Year,Dominance
Congo,Calories,1964,0.620347395
Costa Rica,Calories,1964,0.25369863
C“te d'Ivoire,Calories,1964,0.232638889
Cuba,Calories,1964,0.271530444
Cyprus,Calories,1964,0.417074255
Czechoslovakia,Calories,1964,0.366721177
Democratic People's Republic of Korea,Calories,1964,0.490049751
Denmark,Calories,1964,0.250380132
Djibouti,Calories,1964,0.267511177
Dominica,Calories,1964,0.331589274
Dominican Republic,Calories,1964,0.196650124
Ecuador,Calories,1964,0.177309361
Egypt,Calories,1964,0.344396344
El Salvador,Calories,1964,0.415172414
Ethiopia PDR,Calories,1964,0.24102252
Fiji,Calories,1964,0.250660793
Finland,Calories,1964,0.298265249
France,Calories,1964,0.382366377
French Polynesia,Calories,1964,0.373012048
Gabon,Calories,1964,0.329867129
Gambia,Calories,1964,0.321518987
Germany,Calories,1964,0.23828125
Ghana,Calories,1964,0.203312393
Greece,Calories,1964,0.501232539
Grenada,Calories,1964,0.309134906
Guatemala,Calories,1964,0.61279269
Guinea,Calories,1964,0.21319547
Guinea-Bissau,Calories,1964,0.346601347
Guyana,Calories,1964,0.294176207
Haiti,Calories,1964,0.238013699
Honduras,Calories,1964,0.520531401
Hungary,Calories,1964,0.543577982
Iceland,Calories,1964,0.315217391
India,Calories,1964,0.351793249
Indonesia,Calories,1964,0.460034503
Iran (Islamic Republic of),Calories,1964,0.536144578
Ireland,Calories,1964,0.4293812
Israel,Calories,1964,0.440226876
Italy,Calories,1964,0.463347707
Jamaica,Calories,1964,0.310269083
Japan,Calories,1964,0.499143836
Jordan,Calories,1964,0.519359835
Kenya,Calories,1964,0.485786802
Kiribati,Calories,1964,0.39802336
Kuwait,Calories,1964,0.442439024
Lao People's Democratic Republic,Calories,1964,0.867055085
Lebanon,Calories,1964,0.507591093
Lesotho,Calories,1964,0.449788584
Liberia,Calories,1964,0.45060241
Libya,Calories,1964,0.461880559
Madagascar,Calories,1964,0.582437276
Malawi,Calories,1964,0.693802035
Malaysia,Calories,1964,0.554423344
Maldives,Calories,1964,0.208276798
Mali,Calories,1964,0.317548747
Malta,Calories,1964,0.532237674
Mauritania,Calories,1964,0.369565217
Mauritius,Calories,1964,0.401631913
Mexico,Calories,1964,0.503827751
Mongolia,Calories,1964,0.720359771
Morocco,Calories,1964,0.426136364
Mozambique,Calories,1964,0.464344942
Myanmar,Calories,1964,0.73463357
Namibia,Calories,1964,0.261153428
Nepal,Calories,1964,0.447030006
Netherlands,Calories,1964,0.285081241
New Caledonia,Calories,1964,0.235294118
New Zealand,Calories,1964,0.401072706
Nicaragua,Calories,1964,0.368971528
Niger,Calories,1964,0.603448276
Nigeria,Calories,1964,0.250537634
Norway,Calories,1964,0.32477737
Pakistan,Calories,1964,0.48656215
Panama,Calories,1964,0.319553073
Paraguay,Calories,1964,0.203056769
Peru,Calories,1964,0.179310345
Philippines,Calories,1964,0.524488531
Poland,Calories,1964,0.308963238
Portugal,Calories,1964,0.241141279
Republic of Korea,Calories,1964,0.546660567
Romania,Calories,1964,0.485748695
Rwanda,Calories,1964,0.241855329
Saint Kitts and Nevis,Calories,1964,0.312729498
Saint Lucia,Calories,1964,0.295168762
Saint Vincent and the Grenadines,Calories,1964,0.273299028
Samoa,Calories,1964,0.287110568
Sao Tome and Principe,Calories,1964,0.271271729
Saudi Arabia,Calories,1964,0.204370939
Senegal,Calories,1964,0.282679739
Seychelles,Calories,1964,0.504830918
Sierra Leone,Calories,1964,0.402680965
Solomon Islands,Calories,1964,0.399903754
South Africa,Calories,1964,0.47641309
Spain,Calories,1964,0.380952381
Sri Lanka,Calories,1964,0.42539081
Sudan (former),Calories,1964,0.430311231
Suriname,Calories,1964,0.408929477
Swaziland,Calories,1964,0.40498615
Sweden,Calories,1964,0.225890985
Switzerland,Calories,1964,0.308547009
