Item,FoodGroup,Year,Measurement,NoCountries
Potatoes,Starchy roots,1962,Calories,133
Pulses (other),Pulses,1962,Calories,126
Rape & mustard,Spices & stimulants,1962,Calories,37
Rice,Cereals,1962,Calories,147
Roots (other),Starchy roots,1962,Calories,72
Rye,Cereals,1962,Calories,39
Sesame ,Oils,1962,Calories,56
Sorghum,Cereals,1962,Calories,49
Soybean,Oils,1962,Calories,87
Spices (other),Spices & stimulants,1962,Calories,70
Sugar,Sweeteners,1962,Calories,151
Sunflower,Oils,1962,Calories,43
Sweet potatoes,Starchy roots,1962,Calories,84
Sweeteners (other),Sweeteners,1962,Calories,74
Tea,Spices & stimulants,1962,Calories,37
Tomatoes,Vegetables,1962,Calories,95
Treenuts,Oils,1962,Calories,97
Vegetables (other),Vegetables,1962,Calories,151
Wheat,Cereals,1962,Calories,151
Yams,Starchy roots,1962,Calories,42
Alcoholic beverages,Alcoholic beverages,1962,Fat,0
Animal Products (Total),Animal Products,1962,Fat,152
Apples,Fruits,1962,Fat,35
Bananas & plantains,Fruits,1962,Fat,57
Barley & beer,Alcoholic beverages,1962,Fat,21
Beans,Pulses,1962,Fat,62
Cassava,Starchy roots,1962,Fat,50
Cereals (other),Cereals ,1962,Fat,24
Citrus (other),Fruits,1962,Fat,5
Cloves,Spices & stimulants,1962,Fat,1
Cocoa beans,Spices & stimulants,1962,Fat,81
Coconuts,Oils,1962,Fat,106
Coffee,Spices & stimulants,1962,Fat,0
Cottonseed oil,Oils,1962,Fat,76
Dates,Fruits,1962,Fat,11
Fermented beverages,Alcoholic beverages,1962,Fat,1
Fruits (other),Fruits,1962,Fat,131
Grapefruit,Fruits,1962,Fat,1
Grapes & wine,Alcoholic beverages,1962,Fat,20
Groundnut,Oils,1962,Fat,125
Lemons & limes,Fruits,1962,Fat,9
Maize,Cereals,1962,Fat,112
Millets,Cereals,1962,Fat,45
Miscellaneous,Miscellaneous,1962,Fat,8
Oats,Cereals,1962,Fat,35
Oilcrops (other),Oils,1962,Fat,100
Olives,Oils,1962,Fat,73
Onions,Vegetables,1962,Fat,7
Oranges & mandarines,Fruits,1962,Fat,23
Palm oil,Oils,1962,Fat,56
Peas,Pulses,1962,Fat,24
Pepper,Vegetables,1962,Fat,0
Pimento,Spices & stimulants,1962,Fat,44
Pineapples,Fruits,1962,Fat,5
Potatoes,Starchy roots,1962,Fat,50
Pulses (other),Pulses,1962,Fat,93
Rape & mustard,Spices & stimulants,1962,Fat,37
Rice,Cereals,1962,Fat,106
Roots (other),Starchy roots,1962,Fat,30
Rye,Cereals,1962,Fat,18
Sesame ,Oils,1962,Fat,56
Sorghum,Cereals,1962,Fat,44
Soybean,Oils,1962,Fat,86
Spices (other),Spices & stimulants,1962,Fat,46
Sugar,Sweeteners,1962,Fat,10
Sunflower,Oils,1962,Fat,43
Sweet potatoes,Starchy roots,1962,Fat,34
Sweeteners (other),Sweeteners,1962,Fat,2
Tea,Spices & stimulants,1962,Fat,0
Tomatoes,Vegetables,1962,Fat,44
Treenuts,Oils,1962,Fat,93
Vegetables (other),Vegetables,1962,Fat,130
Wheat,Cereals,1962,Fat,145
Yams,Starchy roots,1962,Fat,21
Alcoholic beverages,Alcoholic beverages,1962,Protein,0
Animal Products (Total),Animal Products,1962,Protein,152
Apples,Fruits,1962,Protein,32
Bananas & plantains,Fruits,1962,Protein,108
