ItemName,CountryName,ElementName,UnitName,20092011Average
Apples,Georgia,Calories,kcal/capita/day,9.333333333
Apples,Georgia,Food Weight,g/capita/day,20
Apples,Georgia,Protein,g/capita/day,0
Apples,Germany,Fat,g/capita/day,0.2
Apples,Germany,Calories,kcal/capita/day,25.66666667
Apples,Germany,Food Weight,g/capita/day,53.33333333
Apples,Germany,Protein,g/capita/day,0.166666667
Apples,Ghana,Fat,g/capita/day,0
Apples,Ghana,Calories,kcal/capita/day,0.666666667
Apples,Ghana,Food Weight,g/capita/day,2.333333333
Apples,Ghana,Protein,g/capita/day,0
Apples,Greece,Fat,g/capita/day,0.1
Apples,Greece,Calories,kcal/capita/day,11
Apples,Greece,Food Weight,g/capita/day,23.66666667
Apples,Greece,Protein,g/capita/day,0.1
Apples,Grenada,Fat,g/capita/day,0.066666667
Apples,Grenada,Calories,kcal/capita/day,7.666666667
Apples,Grenada,Food Weight,g/capita/day,19
Apples,Grenada,Protein,g/capita/day,0.066666667
Apples,Guatemala,Fat,g/capita/day,0
Apples,Guatemala,Calories,kcal/capita/day,2
Apples,Guatemala,Food Weight,g/capita/day,5.333333333
Apples,Guatemala,Protein,g/capita/day,0
Apples,Guinea-Bissau,Fat,g/capita/day,0
Apples,Guinea-Bissau,Calories,kcal/capita/day,0
Apples,Guinea-Bissau,Food Weight,g/capita/day,0
Apples,Guinea-Bissau,Protein,g/capita/day,0
Apples,Guinea,Fat,g/capita/day,0
Apples,Guinea,Calories,kcal/capita/day,0
Apples,Guinea,Food Weight,g/capita/day,0
Apples,Guinea,Protein,g/capita/day,0
Apples,Guyana,Fat,g/capita/day,0
Apples,Guyana,Calories,kcal/capita/day,1.333333333
Apples,Guyana,Food Weight,g/capita/day,3.666666667
Apples,Guyana,Protein,g/capita/day,0
Apples,Haiti,Fat,g/capita/day,0
Apples,Haiti,Calories,kcal/capita/day,0
Apples,Haiti,Food Weight,g/capita/day,0
Apples,Haiti,Protein,g/capita/day,0
Apples,Honduras,Fat,g/capita/day,0
Apples,Honduras,Calories,kcal/capita/day,2.333333333
Apples,Honduras,Food Weight,g/capita/day,7.666666667
Apples,Honduras,Protein,g/capita/day,0
Apples,Hungary,Fat,g/capita/day,0.233333333
Apples,Hungary,Calories,kcal/capita/day,35.33333333
Apples,Hungary,Food Weight,g/capita/day,78.33333333
Apples,Hungary,Protein,g/capita/day,0.2
Apples,Iceland,Fat,g/capita/day,0.166666667
Apples,Iceland,Calories,kcal/capita/day,24.33333333
Apples,Iceland,Food Weight,g/capita/day,86.66666667
Apples,Iceland,Protein,g/capita/day,0.1
Apples,India,Fat,g/capita/day,0
Apples,India,Calories,kcal/capita/day,2.333333333
Apples,India,Food Weight,g/capita/day,4.666666667
Apples,India,Protein,g/capita/day,0
Apples,Indonesia,Fat,g/capita/day,0
Apples,Indonesia,Calories,kcal/capita/day,1
Apples,Indonesia,Food Weight,g/capita/day,2
Apples,Indonesia,Protein,g/capita/day,0
Apples,Iran (Islamic Republic of),Fat,g/capita/day,0.1
Apples,Iran (Islamic Republic of),Calories,kcal/capita/day,25.66666667
Apples,Iran (Islamic Republic of),Food Weight,g/capita/day,53
Apples,Iran (Islamic Republic of),Protein,g/capita/day,0.166666667
Apples,Iraq,Fat,g/capita/day,0.033333333
Apples,Iraq,Calories,kcal/capita/day,9.666666667
Apples,Iraq,Food Weight,g/capita/day,20
Apples,Iraq,Protein,g/capita/day,0.033333333
Apples,Ireland,Fat,g/capita/day,0
Apples,Ireland,Calories,kcal/capita/day,6.666666667
Apples,Ireland,Food Weight,g/capita/day,18
Apples,Ireland,Protein,g/capita/day,0.033333333
Apples,Israel,Fat,g/capita/day,0.1
Apples,Israel,Calories,kcal/capita/day,16.66666667
Apples,Israel,Food Weight,g/capita/day,53.33333333
Apples,Israel,Protein,g/capita/day,0.2
Apples,Italy,Fat,g/capita/day,0.2
Apples,Italy,Calories,kcal/capita/day,22.66666667
Apples,Italy,Food Weight,g/capita/day,46.33333333
Apples,Italy,Protein,g/capita/day,0.133333333
Apples,Jamaica,Fat,g/capita/day,0
Apples,Jamaica,Calories,kcal/capita/day,1
Apples,Jamaica,Food Weight,g/capita/day,5.333333333
Apples,Jamaica,Protein,g/capita/day,0
Apples,Japan,Fat,g/capita/day,0.1
Apples,Japan,Calories,kcal/capita/day,11
Apples,Japan,Food Weight,g/capita/day,41.66666667
Apples,Japan,Protein,g/capita/day,0.1
Apples,Jordan,Fat,g/capita/day,0.066666667
Apples,Jordan,Calories,kcal/capita/day,11.66666667
Apples,Jordan,Food Weight,g/capita/day,24.66666667
Apples,Jordan,Protein,g/capita/day,0.1
Apples,Kazakhstan,Fat,g/capita/day,0.166666667
Apples,Kazakhstan,Calories,kcal/capita/day,28.66666667
Apples,Kazakhstan,Food Weight,g/capita/day,66.33333333
Apples,Kazakhstan,Protein,g/capita/day,0.133333333
Apples,Kenya,Fat,g/capita/day,0
Apples,Kenya,Calories,kcal/capita/day,0
Apples,Kenya,Food Weight,g/capita/day,0.666666667
Apples,Kenya,Protein,g/capita/day,0
Apples,Kiribati,Fat,g/capita/day,0
Apples,Kiribati,Calories,kcal/capita/day,0.666666667
Apples,Kiribati,Food Weight,g/capita/day,2.333333333
Apples,Kiribati,Protein,g/capita/day,0
Apples,Kuwait,Fat,g/capita/day,0.1
Apples,Kuwait,Calories,kcal/capita/day,9.333333333
Apples,Kuwait,Food Weight,g/capita/day,22.33333333
Apples,Kuwait,Protein,g/capita/day,0
Apples,Kyrgyzstan,Fat,g/capita/day,0.166666667
Apples,Kyrgyzstan,Calories,kcal/capita/day,27.66666667
Apples,Kyrgyzstan,Food Weight,g/capita/day,58.66666667
Apples,Kyrgyzstan,Protein,g/capita/day,0.1
Apples,Lao People's Democratic Republic,Fat,g/capita/day,0
Apples,Lao People's Democratic Republic,Calories,kcal/capita/day,0
Apples,Lao People's Democratic Republic,Food Weight,g/capita/day,0
Apples,Lao People's Democratic Republic,Protein,g/capita/day,0
Apples,Latvia,Fat,g/capita/day,0
Apples,Latvia,Calories,kcal/capita/day,11
Apples,Latvia,Food Weight,g/capita/day,29.33333333
Apples,Latvia,Protein,g/capita/day,0.1
Apples,Lebanon,Fat,g/capita/day,0.1
Apples,Lebanon,Calories,kcal/capita/day,16.33333333
Apples,Lebanon,Food Weight,g/capita/day,34.66666667
Apples,Lebanon,Protein,g/capita/day,0.1
Apples,Lesotho,Fat,g/capita/day,0
Apples,Lesotho,Calories,kcal/capita/day,4
Apples,Lesotho,Food Weight,g/capita/day,8
Apples,Lesotho,Protein,g/capita/day,0
Apples,Liberia,Fat,g/capita/day,0
Apples,Liberia,Calories,kcal/capita/day,0
Apples,Liberia,Food Weight,g/capita/day,0
Apples,Liberia,Protein,g/capita/day,0
Apples,Libya,Fat,g/capita/day,0.066666667
Apples,Libya,Calories,kcal/capita/day,12.33333333
Apples,Libya,Food Weight,g/capita/day,25
Apples,Libya,Protein,g/capita/day,0.1
Apples,Lithuania,Fat,g/capita/day,0.033333333
Apples,Lithuania,Calories,kcal/capita/day,10
Apples,Lithuania,Food Weight,g/capita/day,25.33333333
Apples,Lithuania,Protein,g/capita/day,0.033333333
Apples,Luxembourg,Fat,g/capita/day,0.1
Apples,Luxembourg,Calories,kcal/capita/day,24.66666667
Apples,Luxembourg,Food Weight,g/capita/day,72.33333333
Apples,Luxembourg,Protein,g/capita/day,0.1
Apples,Madagascar,Fat,g/capita/day,0
Apples,Madagascar,Calories,kcal/capita/day,0
Apples,Madagascar,Food Weight,g/capita/day,1
Apples,Madagascar,Protein,g/capita/day,0
Apples,Malawi,Fat,g/capita/day,0
Apples,Malawi,Calories,kcal/capita/day,0
Apples,Malawi,Food Weight,g/capita/day,0.333333333
Apples,Malawi,Protein,g/capita/day,0
Apples,Malaysia,Fat,g/capita/day,0
Apples,Malaysia,Calories,kcal/capita/day,3
Apples,Malaysia,Food Weight,g/capita/day,8
Apples,Malaysia,Protein,g/capita/day,0
Apples,Maldives,Fat,g/capita/day,0.1
Apples,Maldives,Calories,kcal/capita/day,9.666666667
Apples,Maldives,Food Weight,g/capita/day,30.66666667
Apples,Maldives,Protein,g/capita/day,0
Apples,Mali,Fat,g/capita/day,0
Apples,Mali,Calories,kcal/capita/day,0
Apples,Mali,Food Weight,g/capita/day,0
Apples,Mali,Protein,g/capita/day,0
Apples,Malta,Fat,g/capita/day,0.1
Apples,Malta,Calories,kcal/capita/day,14.33333333
Apples,Malta,Food Weight,g/capita/day,40
Apples,Malta,Protein,g/capita/day,0.1
Apples,Mauritania,Fat,g/capita/day,0
Apples,Mauritania,Calories,kcal/capita/day,1
Apples,Mauritania,Food Weight,g/capita/day,2
Apples,Mauritania,Protein,g/capita/day,0
Apples,Mauritius,Fat,g/capita/day,0.033333333
Apples,Mauritius,Calories,kcal/capita/day,9.333333333
Apples,Mauritius,Food Weight,g/capita/day,33.33333333
Apples,Mauritius,Protein,g/capita/day,0
Apples,Mexico,Fat,g/capita/day,0.1
Apples,Mexico,Calories,kcal/capita/day,9
Apples,Mexico,Food Weight,g/capita/day,18.66666667
Apples,Mexico,Protein,g/capita/day,0.1
Apples,Mongolia,Fat,g/capita/day,0
Apples,Mongolia,Calories,kcal/capita/day,4.666666667
Apples,Mongolia,Food Weight,g/capita/day,10.66666667
Apples,Mongolia,Protein,g/capita/day,0
Apples,Montenegro,Fat,g/capita/day,0.166666667
Apples,Montenegro,Calories,kcal/capita/day,35.66666667
Apples,Montenegro,Food Weight,g/capita/day,144
Apples,Montenegro,Protein,g/capita/day,0.1
Apples,Morocco,Fat,g/capita/day,0.1
Apples,Morocco,Calories,kcal/capita/day,17.33333333
Apples,Morocco,Food Weight,g/capita/day,37
Apples,Morocco,Protein,g/capita/day,0.1
Apples,Mozambique,Fat,g/capita/day,0
Apples,Mozambique,Calories,kcal/capita/day,0
Apples,Mozambique,Food Weight,g/capita/day,0
Apples,Mozambique,Protein,g/capita/day,0
Apples,Myanmar,Fat,g/capita/day,0
Apples,Myanmar,Calories,kcal/capita/day,0
Apples,Myanmar,Food Weight,g/capita/day,0
Apples,Myanmar,Protein,g/capita/day,0
Apples,Namibia,Fat,g/capita/day,0.1
Apples,Namibia,Calories,kcal/capita/day,8
Apples,Namibia,Food Weight,g/capita/day,16.33333333
Apples,Namibia,Protein,g/capita/day,0
Apples,Nepal,Fat,g/capita/day,0
Apples,Nepal,Calories,kcal/capita/day,3.333333333
Apples,Nepal,Food Weight,g/capita/day,6.666666667
Apples,Nepal,Protein,g/capita/day,0
Apples,Netherlands,Fat,g/capita/day,0.233333333
Apples,Netherlands,Calories,kcal/capita/day,34.66666667
Apples,Netherlands,Food Weight,g/capita/day,79.33333333
Apples,Netherlands,Protein,g/capita/day,0.166666667
Apples,New Caledonia,Fat,g/capita/day,0.1
Apples,New Caledonia,Calories,kcal/capita/day,17.66666667
Apples,New Caledonia,Food Weight,g/capita/day,67.66666667
Apples,New Caledonia,Protein,g/capita/day,0.033333333
Apples,New Zealand,Fat,g/capita/day,0.166666667
Apples,New Zealand,Calories,kcal/capita/day,25
Apples,New Zealand,Food Weight,g/capita/day,59
Apples,New Zealand,Protein,g/capita/day,0.1
Apples,Nicaragua,Fat,g/capita/day,0
Apples,Nicaragua,Calories,kcal/capita/day,4.666666667
Apples,Nicaragua,Food Weight,g/capita/day,27.66666667
Apples,Nicaragua,Protein,g/capita/day,0
Apples,Niger,Fat,g/capita/day,0
Apples,Niger,Calories,kcal/capita/day,0
Apples,Niger,Food Weight,g/capita/day,0
Apples,Niger,Protein,g/capita/day,0
Apples,Nigeria,Fat,g/capita/day,0
Apples,Nigeria,Calories,kcal/capita/day,0
Apples,Nigeria,Food Weight,g/capita/day,0
Apples,Nigeria,Protein,g/capita/day,0
Apples,Norway,Fat,g/capita/day,0.2
Apples,Norway,Calories,kcal/capita/day,26.66666667
Apples,Norway,Food Weight,g/capita/day,94.66666667
Apples,Norway,Protein,g/capita/day,0.1
Apples,Occupied Palestinian Territory,Fat,g/capita/day,0
Apples,Occupied Palestinian Territory,Calories,kcal/capita/day,4
Apples,Occupied Palestinian Territory,Food Weight,g/capita/day,8
Apples,Occupied Palestinian Territory,Protein,g/capita/day,0
Apples,Pakistan,Fat,g/capita/day,0
Apples,Pakistan,Calories,kcal/capita/day,3.666666667
Apples,Pakistan,Food Weight,g/capita/day,7.666666667
Apples,Pakistan,Protein,g/capita/day,0
Apples,Panama,Fat,g/capita/day,0
Apples,Panama,Calories,kcal/capita/day,6.666666667
Apples,Panama,Food Weight,g/capita/day,29
Apples,Panama,Protein,g/capita/day,0
Apples,Paraguay,Fat,g/capita/day,0
Apples,Paraguay,Calories,kcal/capita/day,1
Apples,Paraguay,Food Weight,g/capita/day,3
Apples,Paraguay,Protein,g/capita/day,0
Apples,Peru,Fat,g/capita/day,0.033333333
Apples,Peru,Calories,kcal/capita/day,7.666666667
Apples,Peru,Food Weight,g/capita/day,14.66666667
Apples,Peru,Protein,g/capita/day,0.033333333
Apples,Philippines,Fat,g/capita/day,0
Apples,Philippines,Calories,kcal/capita/day,1
Apples,Philippines,Food Weight,g/capita/day,3
Apples,Philippines,Protein,g/capita/day,0
Apples,Poland,Fat,g/capita/day,0.2
Apples,Poland,Calories,kcal/capita/day,23.66666667
Apples,Poland,Food Weight,g/capita/day,48.33333333
Apples,Poland,Protein,g/capita/day,0.133333333
Apples,Portugal,Fat,g/capita/day,0.266666667
Apples,Portugal,Calories,kcal/capita/day,32.33333333
Apples,Portugal,Food Weight,g/capita/day,66.66666667
Apples,Portugal,Protein,g/capita/day,0.2
Apples,Republic of Korea,Fat,g/capita/day,0
Apples,Republic of Korea,Calories,kcal/capita/day,5
Apples,Republic of Korea,Food Weight,g/capita/day,14.66666667
Apples,Republic of Korea,Protein,g/capita/day,0.033333333
Apples,Republic of Moldova,Fat,g/capita/day,0
Apples,Republic of Moldova,Calories,kcal/capita/day,2
Apples,Republic of Moldova,Food Weight,g/capita/day,4
Apples,Republic of Moldova,Protein,g/capita/day,0
Apples,Romania,Fat,g/capita/day,0.2
Apples,Romania,Calories,kcal/capita/day,29
Apples,Romania,Food Weight,g/capita/day,60
Apples,Romania,Protein,g/capita/day,0.2
Apples,Russian Federation,Fat,g/capita/day,0.1
Apples,Russian Federation,Calories,kcal/capita/day,20.66666667
Apples,Russian Federation,Food Weight,g/capita/day,55.33333333
Apples,Russian Federation,Protein,g/capita/day,0.066666667
Apples,Rwanda,Fat,g/capita/day,0
Apples,Rwanda,Calories,kcal/capita/day,0
Apples,Rwanda,Food Weight,g/capita/day,0
Apples,Rwanda,Protein,g/capita/day,0
Apples,Saint Kitts and Nevis,Fat,g/capita/day,0
Apples,Saint Kitts and Nevis,Calories,kcal/capita/day,5.666666667
Apples,Saint Kitts and Nevis,Food Weight,g/capita/day,20.66666667
Apples,Saint Kitts and Nevis,Protein,g/capita/day,0
Apples,Saint Lucia,Fat,g/capita/day,0
Apples,Saint Lucia,Calories,kcal/capita/day,4.333333333
Apples,Saint Lucia,Food Weight,g/capita/day,16
Apples,Saint Lucia,Protein,g/capita/day,0
