CountryName,Abbrev,ElementName,Year,Count
Frch. Polyn.,French Polynesia,Calories,1964,28
Gabon,Gabon,Calories,1964,22
Gambia,Gambia,Calories,1964,18
Germany,Germany,Calories,1964,37
Ghana,Ghana,Calories,1964,29
Greece,Greece,Calories,1964,33
Grenada,Grenada,Calories,1964,33
Guatemala,Guatemala,Calories,1964,26
Guinea,Guinea,Calories,1964,24
Guinea-Biss.,Guinea-Bissau,Calories,1964,22
Guyana,Guyana,Calories,1964,28
Haiti,Haiti,Calories,1964,30
Honduras,Honduras,Calories,1964,26
Hungary,Hungary,Calories,1964,30
Iceland,Iceland,Calories,1964,28
India,India,Calories,1964,31
Indonesia,Indonesia,Calories,1964,23
Iran,Iran (Islamic Republic of),Calories,1964,26
Ireland,Ireland,Calories,1964,32
Israel,Israel,Calories,1964,38
Italy,Italy,Calories,1964,34
Jamaica,Jamaica,Calories,1964,36
Japan,Japan,Calories,1964,39
Jordan,Jordan,Calories,1964,30
Kenya,Kenya,Calories,1964,32
Kiribati,Kiribati,Calories,1964,12
Kuwait,Kuwait,Calories,1964,28
Laos,Lao People's Democratic Republic,Calories,1964,22
Lebanon,Lebanon,Calories,1964,33
Lesotho,Lesotho,Calories,1964,15
Liberia,Liberia,Calories,1964,27
Libya,Libya,Calories,1964,31
Madagascar,Madagascar,Calories,1964,32
Malawi,Malawi,Calories,1964,21
Malaysia,Malaysia,Calories,1964,36
Maldives,Maldives,Calories,1964,13
Mali,Mali,Calories,1964,21
Malta,Malta,Calories,1964,32
Mauritania,Mauritania,Calories,1964,18
Mauritius,Mauritius,Calories,1964,32
Mexico,Mexico,Calories,1964,37
Mongolia,Mongolia,Calories,1964,12
Morocco,Morocco,Calories,1964,35
Mozambique,Mozambique,Calories,1964,27
Myanmar,Myanmar,Calories,1964,25
Namibia,Namibia,Calories,1964,12
Nepal,Nepal,Calories,1964,16
Netherlands,Netherlands,Calories,1964,31
New Caledon.,New Caledonia,Calories,1964,27
New Zealand,New Zealand,Calories,1964,34
Nicaragua,Nicaragua,Calories,1964,25
Niger,Niger,Calories,1964,20
Nigeria,Nigeria,Calories,1964,30
Norway,Norway,Calories,1964,31
Pakistan,Pakistan,Calories,1964,29
Panama,Panama,Calories,1964,35
Paraguay,Paraguay,Calories,1964,30
Peru,Peru,Calories,1964,35
Philippines,Philippines,Calories,1964,29
Poland,Poland,Calories,1964,25
Portugal,Portugal,Calories,1964,29
South Korea,Republic of Korea,Calories,1964,24
Romania,Romania,Calories,1964,24
Rwanda,Rwanda,Calories,1964,19
St. Kitts,Saint Kitts and Nevis,Calories,1964,22
Saint Lucia,Saint Lucia,Calories,1964,25
St. Vincent,Saint Vincent and the Grenadines,Calories,1964,30
Samoa,Samoa,Calories,1964,19
Sao Tome,Sao Tome and Principe,Calories,1964,22
Saudi Arabia,Saudi Arabia,Calories,1964,31
Senegal,Senegal,Calories,1964,30
Seychelles,Seychelles,Calories,1964,24
Sierra Leone,Sierra Leone,Calories,1964,31
Solomon Isl.,Solomon Islands,Calories,1964,20
South Africa,South Africa,Calories,1964,38
Spain,Spain,Calories,1964,36
Sri Lanka,Sri Lanka,Calories,1964,35
Sudan,Sudan (former),Calories,1964,32
Suriname,Suriname,Calories,1964,28
Swaziland,Swaziland,Calories,1964,22
Sweden,Sweden,Calories,1964,32
Switzerland,Switzerland,Calories,1964,43
Syria,Syrian Arab Republic,Calories,1964,31
Thailand,Thailand,Calories,1964,22
Timor-Leste,Timor-Leste,Calories,1964,20
Togo,Togo,Calories,1964,29
Trin. & Tob.,Trinidad and Tobago,Calories,1964,32
Tunisia,Tunisia,Calories,1964,30
Turkey,Turkey,Calories,1964,29
Uganda,Uganda,Calories,1964,28
Un. Arab Em.,United Arab Emirates,Calories,1964,9
UK,United Kingdom,Calories,1964,38
Tanzania,United Republic of Tanzania,Calories,1964,32
USA,United States of America,Calories,1964,44
Uruguay,Uruguay,Calories,1964,32
USSR,USSR,Calories,1964,32
Vanuatu,Vanuatu,Calories,1964,16
Venezuela,Venezuela (Bolivarian Republic of),Calories,1964,36
Vietnam,Viet Nam,Calories,1964,22
Yemen,Yemen,Calories,1964,23
Yugoslavia,Yugoslav SFR,Calories,1964,32
Zambia,Zambia,Calories,1964,23
Zimbabwe,Zimbabwe,Calories,1964,23
Albania,Albania,Calories,1965,19
Algeria,Algeria,Calories,1965,29
Angola,Angola,Calories,1965,27
Ant. & Barb.,Antigua and Barbuda,Calories,1965,22
Argentina,Argentina,Calories,1965,39
Australia,Australia,Calories,1965,38
Austria,Austria,Calories,1965,37
Bahamas,Bahamas,Calories,1965,27
Bangladesh,Bangladesh,Calories,1965,26
Barbados,Barbados,Calories,1965,33
Belg-Lux,Belgium-Luxembourg,Calories,1965,37
Belize,Belize,Calories,1965,25
Benin,Benin,Calories,1965,30
Bermuda,Bermuda,Calories,1965,26
Bolivia,Bolivia (Plurinational State of),Calories,1965,31
Botswana,Botswana,Calories,1965,21
Brazil,Brazil,Calories,1965,35
Brunei Dar.,Brunei Darussalam,Calories,1965,28
Bulgaria,Bulgaria,Calories,1965,26
Burkina Faso,Burkina Faso,Calories,1965,22
Burundi,Burundi,Calories,1965,23
Cambodia,Cambodia,Calories,1965,23
Cameroon,Cameroon,Calories,1965,32
Canada,Canada,Calories,1965,38
Cape Verde,Cape Verde,Calories,1965,23
C. Af. Rep,Central African Republic,Calories,1965,24
Chad,Chad,Calories,1965,25
Chile,Chile,Calories,1965,30
China,China,Calories,1965,34
Colombia,Colombia,Calories,1965,29
